UpOctUL,UpOctDL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ULMeanNL,MaxTxPower,TransRateMean,RSRP,RSRQ,Label
4858.26,39283.4,9,130,122,-109,141,206,-98,-14,1
20551.1,164947,14,182,164,-90,348,273,-87,-12,3
7068.16,57873.6,13,185,170,-131,315,275,-86,-12,2
10058.5,148952,11,172,44,-99,260,251,-90,-13,4
25390.4,204428,10,148,140,-119,141,185,-101,-14,1
54014.1,433095,12,186,185,-132,237,263,-89,-13,0
5383.12,80422.6,9,128,56,-88,239,215,-96,-14,4
70698.9,569491,14,226,216,-120,321,233,-95,-13,2
3855.78,30829.5,7,114,113,-113,139,111,-115,-16,1
9917.04,78329,7,99,91,-132,131,166,-106,-15,1
4169.17,62881.5,9,127,4,-101,255,253,-92,-13,4
66196.2,523543,12,195,180,-90,324,234,-91,-13,3
7985.97,62719.6,15,206,188,-89,337,225,-94,-13,3
51778.3,412605,12,155,150,-128,225,166,-104,-15,0
47166,381715,11,167,167,-128,244,206,-100,-14,0
46803.3,371111,12,185,175,-120,253,232,-94,-13,0
22419.6,177467,8,112,106,-127,124,144,-108,-15,1
34904.3,281080,10,138,126,-111,354,231,-93,-13,2
6190.63,92766.2,10,145,31,-102,218,239,-92,-13,4
69117.1,562204,14,231,213,-92,349,267,-87,-12,3
53022.6,426727,15,204,198,-127,347,254,-89,-12,2
16994.4,135839,11,177,162,-104,331,297,-87,-12,3
3872.83,58453.6,13,190,23,-93,242,250,-90,-13,4
48112.5,373602,12,197,182,-114,234,247,-91,-13,0
18506.7,147747,12,186,169,-113,254,221,-94,-13,0
65269.5,507384,13,196,181,-89,352,270,-88,-12,3
6508.94,51460.3,8,120,109,-128,142,132,-110,-15,1
8263.13,124803,7,104,24,-89,240,204,-98,-13,4
81470.2,644341,16,238,227,-91,329,234,-93,-13,3
50533.4,410329,8,125,116,-126,143,221,-96,-13,1
23387.5,187878,7,95,87,-109,129,161,-107,-15,1
57948,468860,11,165,162,-112,215,212,-99,-14,0
26667.5,213324,11,166,153,-120,233,207,-97,-14,0
7688.59,62529.4,7,105,101,-122,160,151,-107,-15,1
6040.57,91327.8,8,116,49,-92,250,204,-99,-14,4
9680.77,79693.2,13,180,171,-89,322,209,-97,-14,3
4482.04,67716.2,10,138,52,-94,238,250,-91,-13,4
24455.5,370182,8,118,28,-92,254,217,-93,-13,4
52832.1,421661,12,178,168,-121,134,209,-99,-14,1
71611,577196,13,195,195,-112,227,258,-91,-12,0
49266.3,391760,10,140,128,-115,151,199,-100,-14,1
18391.4,146082,13,194,186,-89,334,248,-88,-12,3
37437.3,300122,9,117,108,-109,174,167,-103,-15,1
1813.63,27450.8,12,195,70,-93,209,234,-95,-13,4
23563,187935,15,209,198,-86,331,243,-93,-13,3
11808.1,96530.4,11,171,166,-130,317,234,-93,-13,2
5995.63,89531.3,11,154,23,-89,208,162,-106,-15,4
12579.5,100182,12,157,144,-128,246,227,-92,-13,0
29747.7,449829,11,183,65,-99,231,227,-94,-13,4
46928.1,375010,16,235,215,-91,326,216,-95,-13,3
51276.4,420243,10,139,134,-125,170,193,-101,-14,1
71486.6,573563,13,197,195,-116,326,234,-92,-13,3
8124.48,121770,9,132,9,-97,264,193,-100,-14,4
52234.8,428474,13,196,193,-118,242,200,-100,-14,0
39614.2,310627,10,151,139,-110,322,232,-88,-12,2
33288.4,501451,12,190,3,-91,238,243,-89,-12,4
4653.5,37022.2,8,121,110,-112,142,213,-99,-14,1
6549.67,51786,11,164,156,-143,243,252,-90,-13,0
26688.8,213991,12,182,169,-129,147,203,-97,-14,1
14349.9,115508,7,106,105,-115,145,165,-105,-15,1
11104.8,167544,12,181,12,-92,286,235,-95,-13,4
10199.4,82787,6,86,83,-114,163,154,-107,-15,1
22304.6,178307,9,142,130,-114,187,191,-101,-14,1
15953.3,241054,13,204,3,-90,238,219,-94,-13,4
27191.8,214184,7,97,89,-128,284,256,-91,-13,0
58485.4,458476,10,145,132,-125,346,243,-91,-13,2
6057.72,48604.1,7,110,110,-108,157,202,-99,-14,1
11619.6,175546,9,129,64,-96,227,232,-93,-13,4
2852.91,22401,10,153,149,-122,249,178,-101,-14,0
29667.4,439734,11,165,36,-103,249,233,-96,-13,4
9984.63,79960,11,153,139,-89,335,209,-97,-13,3
35204.4,285658,13,210,203,-95,338,250,-91,-13,3
44193.3,355185,8,116,111,-118,137,220,-96,-13,1
19195.3,155226,14,175,162,-90,318,241,-91,-13,3
4392.59,66870.8,11,180,34,-93,234,239,-92,-13,4
29786.3,237563,12,186,175,-121,329,248,-89,-12,2
7562.94,113859,10,143,13,-89,247,246,-93,-13,4
23637.8,187053,10,150,147,-120,249,226,-95,-13,0
2969.42,24037.8,10,173,161,-116,134,148,-108,-15,1
16956.9,139531,7,106,98,-114,135,145,-109,-15,1
77103.9,620696,16,248,243,-95,333,258,-89,-12,3
34750,279773,7,102,93,-124,133,103,-115,-16,1
29996.9,239925,8,101,99,-114,260,242,-90,-12,0
6971.84,104661,8,111,42,-100,224,208,-94,-13,4
36464.1,291216,13,204,200,-86,335,222,-93,-13,3
11715.4,94741.3,9,132,126,-126,166,164,-106,-15,1
17098.5,257661,12,174,22,-102,232,225,-94,-13,4
28167.9,222787,12,171,165,-137,306,238,-92,-13,2
46174.6,374545,13,189,186,-141,335,227,-93,-13,2
41999,332310,15,236,219,-91,336,244,-91,-13,3
15444.4,233068,9,147,15,-97,265,255,-89,-12,4
9363.16,76272.1,6,81,76,-140,160,241,-93,-13,1
9556.36,75697.6,11,163,158,-123,318,231,-91,-13,2
25237.6,375754,8,120,48,-97,244,256,-90,-12,4
103593,840145,17,243,240,-118,317,247,-89,-12,2
60476.3,487126,12,203,201,-90,328,235,-90,-13,3
26304.5,393603,9,130,3,-90,243,230,-95,-13,4
5113.61,76103.5,10,175,38,-95,248,213,-96,-13,4
78339.7,631159,13,189,177,-113,348,268,-89,-13,2
18945.7,286519,11,168,27,-101,258,216,-96,-13,4
3359.07,26928.1,13,200,196,-91,338,215,-95,-13,3
12157.7,96568.5,9,141,138,-123,248,232,-91,-13,0
50081,402972,12,193,192,-113,215,229,-94,-13,0
6107.34,90936.5,9,135,63,-104,239,240,-93,-13,4
14442.5,218626,10,160,1,-96,235,219,-95,-13,4
42772.1,340881,11,162,151,-104,339,238,-91,-12,3
18696.7,148622,7,109,99,-124,143,171,-106,-15,1
52631.2,412982,12,153,143,-93,329,228,-95,-13,3
63516.8,520712,14,206,186,-93,311,256,-90,-12,3
59656.9,479739,13,182,165,-87,335,266,-86,-12,3
13317.1,104061,10,149,145,-125,129,175,-104,-14,1
15632.7,124161,11,166,153,-96,341,252,-91,-12,3
25436.1,379463,12,151,7,-101,243,265,-89,-12,4
49415.4,394423,10,156,141,-128,217,256,-88,-12,0
28140.1,421382,10,144,6,-96,226,206,-96,-13,4
51690.2,417521,10,133,128,-123,352,238,-93,-13,2
2150.09,32667.5,7,102,40,-100,238,259,-92,-13,4
13420.3,108496,11,175,175,-112,215,211,-97,-14,0
41195.9,335515,15,239,219,-86,337,249,-92,-13,3
61303.5,481029,12,164,155,-114,306,217,-96,-13,2
23810.5,186789,7,98,92,-106,136,195,-98,-14,1
35249.3,288924,9,122,111,-130,229,216,-96,-14,0
7106.91,56947.1,8,133,131,-116,241,259,-90,-13,0
12382.9,96553.6,16,252,233,-118,341,244,-92,-13,2
5539.68,44562.3,7,94,92,-132,141,139,-111,-15,1
22392.9,335336,12,171,78,-90,249,183,-101,-14,4
20375.2,305857,10,133,66,-92,228,230,-90,-13,4
27370,215654,12,207,200,-94,331,263,-88,-12,3
3606.67,29165.9,14,224,213,-120,354,241,-90,-12,2
36514.7,294692,11,173,168,-125,327,256,-89,-12,2
22536.1,182193,10,158,157,-95,337,303,-84,-12,3
49222.8,392452,10,151,141,-114,240,245,-92,-13,0
65109.4,531043,13,193,193,-112,308,265,-89,-12,2
20392.8,161548,14,224,207,-94,303,247,-92,-13,3
14564.5,116166,11,157,151,-120,344,222,-95,-13,2
16382.1,129362,14,232,223,-100,324,242,-92,-13,3
8510.56,68637.8,14,207,190,-113,302,220,-94,-13,2
66975.4,530813,14,221,219,-89,336,240,-93,-13,3
9660.17,75592.2,6,87,79,-109,166,192,-99,-14,1
9513.48,75240.3,7,118,114,-120,162,161,-106,-15,1
39945.1,312851,8,133,127,-118,149,201,-99,-14,1
8980.09,71538.9,15,250,249,-101,325,234,-92,-13,3
42687.1,342212,8,128,116,-123,243,223,-95,-13,0
7802.58,62589.3,9,137,127,-140,245,173,-104,-14,0
69710.6,556819,12,190,173,-110,254,243,-91,-13,0
11248.1,169869,7,99,48,-92,290,250,-90,-13,4
17076.8,135952,6,94,93,-120,166,231,-92,-13,1
69870.7,556225,13,220,212,-127,326,286,-86,-12,2
14197.9,112688,13,196,179,-87,329,247,-89,-13,3
14795.5,119432,11,169,161,-114,375,270,-88,-12,2
18496.2,275711,8,115,8,-96,246,252,-90,-12,4
39414.3,318109,10,161,158,-148,165,171,-103,-14,1
34367.5,276153,9,131,126,-141,230,237,-91,-13,0
16884.9,135365,11,148,143,-111,348,233,-88,-12,3
8657.04,128998,11,183,83,-89,240,224,-95,-13,4
23532.6,184912,10,168,167,-132,338,253,-91,-13,2
1513.54,22929,10,166,44,-92,214,208,-96,-14,4
16456.6,246480,9,136,12,-93,240,150,-109,-15,4
19780.7,157922,11,167,166,-89,331,257,-92,-13,3
39269,309883,14,186,184,-110,307,225,-95,-13,2
17821.4,141693,12,176,165,-135,322,234,-93,-13,2
6274.18,49914.4,11,165,156,-88,338,250,-91,-13,3
12132.4,99911,8,141,136,-109,167,226,-93,-13,1
48501.1,383216,10,158,155,-111,267,225,-93,-13,0
